word,examples,word_audio,word_search,word_translation,example_translation
"sich bemühen, bemüht, bemühte, hat bemüht","['Er hat sich sehr bemüht, etwas Gutes zu kochen.', 'Ich werde mich um einen Termin bemühen.']",sich bemühen,bemühen,['усилие'],"['Много се стараеше да сготви нещо добро.', 'Ще се постарая да ви уредя среща.']"
"benötigen, benötigt, benötigte, hat benötigt","['Sagen Sie Bescheid, wenn Sie noch etwas benötigen.']",benötigen,benötigen,['нужда от'],"['Уведомете ни, ако имате нужда от нещо друго.']"
"benutzen, benutzt, benutzte, hat benutzt",['Benutzen Sie bitte die öffentlichen Verkehrsmittel.'],benutzen,benutzen,['използване на'],"['Моля, използвайте обществения транспорт.']"
"das Benzin, -e",['Das Benzin soll wieder teurer werden.'],das Benzin,Benzin,['Петрол'],['Бензинът отново ще поскъпне.']
"beobachten, beobachtet, beobachtete, hat beobachtet",['Wer hat den Unfall beobachtet?'],beobachten,beobachten,['наблюдавайте'],['Кой е бил свидетел на произшествието?']
bequem,"['Meine Kinder ziehen am liebsten bequeme Sachen an.', 'Im Supermarkt einkaufen ist sehr bequem.', 'Diesen Sessel finde ich sehr bequem.']",bequem,bequem,['удобен'],"['Децата ми предпочитат да носят удобни дрехи.', 'Пазаруването в супермаркета е много удобно.', 'Намирам този фотьойл за много удобен.']"
"beraten, berät, beriet, hat beraten","['Unser Personal berät Sie gern, wenn Sie Fragen haben.']",beraten,beraten,['съветва'],"['Нашият персонал с удоволствие ще ви посъветва, ако имате някакви въпроси.']"
"die Beratung, -en",['Beratungen für Familien gibt es jeden Dienstag zwischen 14 und 16 Uhr.'],die Beratung,Beratung,['Консултации'],['Консултации за семейства се предлагат всеки вторник между 14 и 16 часа.']
"berechnen, berechnet, berechnete, hat berechnet",['Die Kosten für die Fahrt müssen erst berechnet werden.'],berechnen,berechnen,['изчислете'],['Първо трябва да се изчисли цената на пътуването.']
"der Bereich, -e","['In welchem Bereich möchten Sie arbeiten?', 'Umfahren Sie den Baustellenbereich.']",der Bereich,Bereich,['област'],"['В коя област бихте искали да работите?', 'Обиколете района на строителната площадка.']"
bereit,"['Ich bin jederzeit bereit, dir zu helfen.', 'Das Paket liegt auf der Post für Sie bereit.']",bereit,bereit,['готов'],"['Винаги съм готов да ви помогна.', 'Пратката е готова за вас в пощенската служба.']"
bereits,['Bitte melde dich bei Frau Kaiser. Sie hat bereits dreimal angerufen.'],bereits,bereits,['вече'],"['Моля, свържете се с г-жа Кайзер. Тя вече се обади три пъти.']"
"der Berg, -e","['Die Zugspitze ist der höchste Berg in Deutschland.', 'Wir fahren jeden Sonntag in die Berge.', 'Auf dem Berg haben wir ein Picknick']",der Berg,Berg,['Mountain'],"['Цугшпитце е най-високата планина в Германия.', 'Всяка неделя ходим в планината.', 'Правим пикник в планината']"
"berichten, berichtet, berichtete, hat berichtet",['Alle Zeitungen haben über den Unfall berichtet.'],berichten,berichten,['доклад'],['Всички вестници съобщават за инцидента.']
"der Bericht, -e",['Ich habe gestern einen interessanten Bericht gelesen.'],der Bericht,Bericht,['Доклад'],['Вчера прочетох интересен доклад.']
"der Beruf, -e",['Was sind Sie von Beruf?'],der Beruf,Beruf,['Професия'],['Каква е професията ви?']
beruflich,['Was machen Sie beruflich?'],beruflich,beruflich,['професионален'],['С какво си изкарвате прехраната?']
berufstätig,['Sind Sie berufstätig?'],berufstätig,berufstätig,['наети лица'],['Работите ли?']
"beruhigen, beruhigt, beruhigte, hat beruhigt","['Beruhigen Sie sich bitte. Es ist alles in Ordnung.', 'Ich kann Sie beruhigen. Ihrem Sohn ist nichts passiert.']",beruhigen,beruhigen,['успокояване'],"['Моля, успокойте се. Всичко е наред.', 'Мога да ви успокоя. Нищо не се е случило със сина ви.']"
berühmt,['Michael Schumacher ist ein berühmter Rennfahrer.'],berühmt,berühmt,['известен'],['Михаел Шумахер е известен автомобилен състезател.']
"beschädigen, beschädigt, beschädigte, hat beschädigt","['Bitte machen Sie eine Liste davon, was die Einbrecher beschädigt haben.']",beschädigen,beschädigen,['щети'],"['Моля, съставете списък на това, което са повредили крадците.']"
"beschäftigen, beschäftigt, beschäftigte, hat beschäftigt","['Womit haben Sie sich bei Ihrer Arbeit beschäftigt?', 'Seit wann sind Sie bei dieser Firma beschäftigt?']",beschäftigen,beschäftigen,['да използва'],"['Върху какво се съсредоточихте в работата си?', 'От колко време работите за тази компания?']"
"die Beschäftigung, -en","['Ich suche eine Halbtagsbeschäftigung, weil ich ein kleines Kind habe.']",die Beschäftigung,Beschäftigung,['Заетост'],"['Търся работа на непълно работно време, защото имам малко дете.']"
"der Bescheid, -e",['Den endgültigen Bescheid erhalten Sie in etwa vier Wochen.'],der Bescheid,Bescheid,['Известие'],['Окончателното решение ще получите след около четири седмици.']
Bescheid sagen,['Ich erkundige mich nach den Terminen und sage Ihnen dann Bescheid.'],Bescheid sagen,Bescheid sagen,['Уведомете ме'],['Ще се поинтересувам за датите и след това ще ви информирам.']
Bescheid geben,['Kannst du mir bis morgen Bescheid geben?'],Bescheid geben,Bescheid geben,['Уведомете ме'],['Можете ли да ми съобщите до утре?']
"beschließen, beschließt, beschloss, hat beschlossen","['Wir haben beschlossen, uns ein kleineres Auto zu kaufen.']",beschließen,beschließen,['реши'],['Решихме да си купим по-малък автомобил.']
beschränken,['Die Teilnehmerzahl für den Kurs ist beschränkt.'],beschränken,beschränken,['ограничавам'],['Броят на участниците в курса е ограничен.']
"beschreiben, beschreibt, beschrieb, hat beschrieben",['Kannst du mir den Weg zum Flughafen beschreiben?'],beschreiben,beschreiben,['опишете'],['Можете ли да ми кажете как да стигна до летището?']
"die Beschreibung, -en",['Eine Beschreibung des Geräts liegt bei.'],die Beschreibung,Beschreibung,['Описание на'],['Приложено е описание на устройството.']
"sich beschweren, beschwert sich, beschwerte sich, hat sich beschwert",['Wo können wir uns beschweren?'],sich beschweren,beschweren,['оплакване'],['Къде можем да се оплачем?']
"besetzen, besetzt, besetzte, hat besetzt","['Dieser Platz ist besetzt.', 'Ich habe drei Plätze besetzt.', 'Ich habe jetzt schon dreimal dort angerufen. Es ist immer besetzt.']",besetzen,besetzen,['заемат'],"['Това място е заето.', 'Запълних три места.', 'Обадих им се вече три пъти. Тя винаги е заета.']"
"besichtigen, besichtigt, besichtigte, hat besichtigt",['Im Urlaub haben wir Schloss Schönbrunn besichtigt.'],besichtigen,besichtigen,['посетете'],['Посетихме двореца Шьонбрун по време на почивка.']
"besitzen, besitzt, besaß, hat besessen",['Besitzt Ihre Frau ein eigenes Auto?'],besitzen,besitzen,['притежавате'],['Има ли съпругата ви собствена кола?']
besonder-,['Meine Eltern wollten uns mit dieser Reise eine ganz besondere Freude machen.'],besonder-,besonder-,['специален'],['Родителите ми искаха да ни подарят много специално удоволствие с това пътуване.']
besonders,"['Ich habe heute ein besonders günstiges Angebot gesehen.', 'Durch den Sturm gab es besonders in Süddeutschland schwere Schäden.', 'Wie geht’s? – Nicht besonders.']",besonders,besonders,['особено'],"['Днес видях една особено изгодна оферта.', 'Бурята причинява сериозни щети, особено в Южна Германия.', 'Как върви? - Не особено.']"
"besorgen, besorgt, besorgte, hat besorgt",['Soll ich die Eintrittskarten besorgen?'],besorgen,besorgen,['да получите'],['Трябва ли да взема билетите?']
"besprechen, bespricht, besprach, hat besprochen","['Wir müssen noch genau besprechen, wann wir losfahren und was wir mitnehmen.']",besprechen,besprechen,['обсъждане'],['Все още трябва да обсъдим кога точно ще заминем и какво ще вземем със себе си.']
"die Besprechung, -en","['Tut mir leid, Herr Schmidt ist noch in einer Besprechung.']",die Besprechung,Besprechung,['Дискусия'],"['Съжалявам, но г-н Шмид все още е на среща.']"
"die Besserung, -en",['Gute Besserung!'],die Besserung,Besserung,['Подобрение'],['Оздравейте скоро!']
"bestätigen, bestätigt, bestätigte, hat bestätigt","['Die Firma hat mir den Termin schriftlich bestätigt.', 'Ich kann bestätigen, dass er hier war.']",bestätigen,bestätigen,['потвърдете'],"['Дружеството потвърди писмено назначението.', 'Мога да потвърдя, че той беше тук.']"
"die Bestätigung, -en",['Ich brauche eine schriftliche Bestätigung für das Amt.'],die Bestätigung,Bestätigung,['Потвърждение'],['Имам нужда от писмено потвърждение за офиса.']
"bestehen, besteht, bestand, hat bestanden","['Das Modul Lesen besteht aus fünf Teilen.', 'Ich habe die Prüfung bestanden!']",bestehen,bestehen,['съществува'],"['Модулът за четене се състои от пет части.', 'Издържах изпита!']"
"bestellen, bestellt, bestellte, hat bestellt","['Wir haben Pizza bestellt.', 'Ich bin für 16 Uhr zum Vorstellungsgespräch bestellt.', 'Ich soll Ihnen Grüße von Frau Meier bestellen.']",bestellen,bestellen,['поръчка'],"['Поръчахме си пица.', 'Записаха ме за интервю в 16:00 ч.', 'Госпожа Майер ме помоли да ви предам поздравите си.']"
bestimmt,"['Das hat Nancy bestimmt nicht so gemeint.', 'Möchtest du ein bestimmtes Brot?']",bestimmt,bestimmt,['определен'],"['Нанси със сигурност не е имала това предвид.', 'Искате ли конкретен хляб?']"
"bestrafen, bestraft, bestrafte, hat bestraft",['Zu schnelles Fahren wird streng bestraft.'],bestrafen,bestrafen,['наказва'],['Превишаването на скоростта се наказва строго.']
"besuchen, besucht, besuchte, hat besucht","['Besuchen Sie uns doch mal.', 'Sie müssen noch einen Kurs besuchen.']",besuchen,besuchen,['посетете'],"['Защо не ни посетите?', 'Все пак трябва да посетите курс.']"
"der Besuch, -e","['Wir bekommen Besuch.', 'Ich mache einen Besuch im Krankenhaus.', 'Ich bin hier nur zu Besuch.']",der Besuch,Besuch,['Посетете'],"['Имаме посетител.', 'Посещавам болницата.', 'Тук съм само на гости.']"
"sich beteiligen, beteiligt sich, beteiligte sich, hat sich beteiligt",['Wir wollen unserer Lehrerin ein Geschenk kaufen. Wer möchte sich beteiligen?'],sich beteiligen,beteiligen,['участие'],['Искаме да купим подарък на нашия учител. Кой желае да участва?']
"der Betrag, ¨-e",['Bitte überweisen Sie den Betrag auf unser Konto.'],der Betrag,Betrag,['Сума'],"['Моля, преведете сумата по нашата сметка.']"
"betreuen, betreut, betreute, hat betreut",['Wer betreut bei Ihnen die Kinder?'],betreuen,betreuen,['да се грижи за'],['Кой се грижи за децата ви?']
"der Betreuer, - die Betreuerin, -nen",['Die Betreuerin der Kinder ist sehr nett.'],"der Betreuer, die Betreuerin",Betreuer,"['ръководител, ръководителка']",['Ръководителката (на децата) е много мила.']
die Betreuung,['Haben Sie eine Betreuung für Ihre Kinder?'],die Betreuung,Betreuung,['Подкрепа'],['Имате ли грижа за децата си?']
"der Betrieb, -e","['In diesem Betrieb arbeiten zehn Leute.', 'Kurz vor Weihnachten ist in den Kaufhäusern immer viel Betrieb.', 'Der Aufzug ist in Betrieb/außer Betrieb.']",der Betrieb,Betrieb,['Операция'],"['В тази компания работят десет души.', 'Точно преди Коледа универсалните магазини винаги са много оживени.', 'Асансьорът е в/извън експлоатация.']"
"der Betriebsrat, ¨-e die Betriebsrätin, -nen",['Der Betriebsrat wird Sie über die neuen Arbeitszeiten informieren.'],"der Betriebsrat, die Betriebsrätin",Betriebsrat,['Работнически съвет'],['Работническият съвет ще ви информира за новото работно време.']
"betrügen, betrügt, betrog, hat betrogen","['Ich würde meine Familie niemals betrügen.', 'Die Rechnung stimmt nicht. Der Kellner hat mich betrogen.']",betrügen,betrügen,['измама'],"['Никога не бих изневерил на семейството си.', 'Изчислението не е правилно. Сервитьорът ме измами.']"
betrunken,"['Wenn Sie betrunken Auto fahren, verlieren Sie Ihren Führerschein.']",betrunken,betrunken,['пиян'],"['Ако шофирате в нетрезво състояние, ще загубите шофьорската си книжка.']"
"das Bett, -en","['Wir wollten uns neue Betten kaufen.', 'Solange Sie Fieber haben, müssen Sie im Bett bleiben.']",das Bett,Bett,['Легло'],"['Искахме да купим нови легла.', 'Докато имате треска, трябва да останете в леглото.']"
"die Bevölkerung, -en",['11 % der Bevölkerung wurden nicht im Inland geboren.'],die Bevölkerung,Bevölkerung,['Население'],['11 % от населението не е родено в Германия.']
bevor,"['Bevor wir gehen, möchte ich noch etwas essen.']",bevor,bevor,['преди'],"['Преди да тръгнем, искам да хапна нещо.']"
"bewegen, bewegt, bewegte, hat bewegt","['Ich kann mich vor Schmerzen kaum noch bewegen.', 'Ich kann meinen Finger nicht mehr bewegen.']",bewegen,bewegen,['преместване'],"['Почти не мога да се движа заради болката.', 'Вече не мога да движа пръста си.']"
"die Bewegung, -en",['Sie brauchen mehr Bewegung. Sie müssen regelmäßig spazieren gehen.'],die Bewegung,Bewegung,['Движение'],['Те се нуждаят от повече упражнения. Трябва да се разхождате редовно.']
"beweisen, beweist, bewies, hat bewiesen","['Wir können beweisen, dass Sie bei Rot über die Ampel gefahren sind.']",beweisen,beweisen,['докажете'],"['Можем да докажем, че сте шофирали на червено.']"
"der Beweis, -e",['Haben Sie dafür Beweise?'],der Beweis,Beweis,['Доказателство'],['Имате ли доказателства за това?']
"sich bewerben, bewirbt sich, bewarb sich, hat sich beworben","['Ich habe mich um diese Stelle beworben.', 'Ich habe mich als Kellner beworben.']",sich bewerben,bewerben,['прилагайте'],"['Кандидатствах за тази позиция.', 'Кандидатствах за работа като сервитьор.']"
"die Bewerbung, -en","['Wohin soll ich meine Bewerbung schicken?', 'Hilfst du mir bei meiner Bewerbung?']",die Bewerbung,Bewerbung,['Приложение'],"['Къде да изпратя заявлението си?', 'Можете ли да ми помогнете с моята кандидатура?']"
"der Bewohner, die Bewohnerin, -nen",['Ich kenne die anderen Hausbewohner nicht.'],"der Bewohner, die Bewohnerin",Bewohner,['Жители'],['Не познавам другите жители.']
"bezahlen, bezahlt, bezahlte, hat bezahlt",['Hast du die Rechnung schon bezahlt?'],bezahlen,bezahlen,['заплащане'],['Вече ли сте платили сметката?']
"die Beziehung, -en",['Wir haben gute Beziehungen zu unseren Nachbarn.'],die Beziehung,Beziehung,['Връзка'],['Имаме добри отношения със съседите си.']
"die Bibliothek, -en",['Die Stadtbibliothek hat bereits geschlossen.'],die Bibliothek,Bibliothek,['Библиотека'],['Градската библиотека вече е затворена.']
"das Bier, -e","['Ein Bier, bitte!']",das Bier,Bier,['Бира'],"['Една бира, моля!']"
"bieten, bietet, bot, hat geboten","['Er hat mir für den alten Wagen noch 800 Euro geboten.', 'Die Firma bietet ihren Mitarbeitern die Möglichkeit, Sprachkurse zu besuchen.']",bieten,bieten,['оферта'],"['Той ми предложи още 800 евро за стария автомобил.', 'Компанията предлага на служителите си възможност да посещават езикови курсове.']"
"das Bild, -er",['Ein Bild von meinen Kindern hängt über meinem Schreibtisch.'],das Bild,Bild,['Снимка'],['Над бюрото ми виси снимка на децата ми.']
"der Bildschirm, -e","['Ich brauche einen größeren Bildschirm für meinen Computer.', 'Wir haben einen Fernsehapparat mit einem sehr großen Bildschirm.']",der Bildschirm,Bildschirm,['Екран'],"['Имам нужда от по-голям екран за компютъра си.', 'Имаме телевизор с много голям екран.']"
"das Billett, -e/-s → D, A: Fahrkarte",['Ein Billett können Sie am Schalter kaufen.'],das Billett,Billett,['Билет'],['Можете да си купите билет на гишето за продажба на билети.']
billig,['Dieses Buch ist nicht ganz billig.'],billig,billig,['евтини'],['Тази книга не е евтина.']
die Biologie,['Meine Freundin studiert Biologie.'],die Biologie,Biologie,['Биология'],['Приятелката ми учи биология.']
Bio-,['Ich kaufe nur noch Biogemüse.'],Bio-,Bio-,['Органичен'],['Купувам само органични зеленчуци.']
bio(logisch),['Biologische Lebensmittel gibt es jetzt auch im Supermarkt.'],bio(logisch),bio(logisch),['био(логически)'],['Биологичните храни вече се предлагат и в супермаркетите.']
"die Birne, -n",['Möchten Sie Obst? Die Birnen sind heute besonders schön.'],die Birne,Birne,['Круша'],['Искате ли плодове? Днес крушите са особено красиви.']
bis,"['Die Linie 8 fährt nur bis zum Hauptbahnhof.', 'Bis wann können Sie bleiben?', 'Tschüs. Bis gleich!', 'Einige Züge hatten bis zu zwei Stunden Verspätung.', 'Für die Renovierung brauchen wir drei bis vier Tage.', 'Warte hier, bis ich zurückkomme.']",bis,bis,['до'],"['Линия 8 стига само до главната железопътна гара.', 'До кога можете да останете?', 'Довиждане. Ще се видим скоро!', 'Някои влакове закъсняваха с до два часа.', 'Необходими са ни три-четири дни за ремонта.', 'Изчакайте тук, докато се върна.']"
bisher,['Bisher ist alles in Ordnung.'],bisher,bisher,['досега'],['Досега всичко е наред.']
ein bisschen,"['Wenn Sie ein bisschen warten, können wir zusammen gehen.', 'Möchten Sie noch ein bisschen Reis?', 'Können Sie bitte ein bisschen lauter sprechen?', 'Sprechen Sie Englisch? – Ein bisschen.']",ein bisschen,ein bisschen,['малко'],"['Ако изчакате малко, можем да отидем заедно.', 'Искате ли още ориз?', 'Можете ли да говорите малко по-силно?', 'Говорите ли английски? - Малко.']"
"bitten, bittet, bat, hat gebeten","['Darf ich Sie bitten, kurz zuzuhören?']",bitten,bitten,['попитайте'],['Мога ли да ви помоля да се вслушате за момент?']
"die Bitte, -n",['Ich habe eine Bitte. Kann ich mal Ihr Handy benutzen?'],die Bitte,Bitte,"['Моля, изпратете']",['Имам молба. Мога ли да използвам мобилния ви телефон?']
bitte,"['Eine Tasse Kaffee, bitte!', 'Bitte schön!', 'Wie bitte? Was haben Sie gesagt?', 'Sprechen Sie bitte langsam.']",bitte,bitte,"['моля,']","['Чаша кафе, моля!', 'Ето ви!', 'Извинете ме? Какво казахте?', 'Моля, говорете бавно.']"
bitter,['Hast du Zucker? Der Tee ist sehr bitter.'],bitter,bitter,['горчив'],['Имате ли захар? Чаят е много горчив.']
blass,['Du siehst ganz blass aus. Bist du krank?'],blass,blass,['блед'],['Изглеждаш много бледа. Болен ли сте?']
"das Blatt, ¨-er","['Die Bäume bekommen schon gelbe Blätter.', 'Haben Sie ein Blatt Papier für mich?']",das Blatt,Blatt,['Лист'],"['Дърветата вече пожълтяват.', 'Имате ли лист хартия за мен?']"
"bleiben, bleibt, blieb, ist geblieben","['Ich bleibe heute zu Hause.', 'Im Juni und Juli bleibt unser Geschäft samstags geschlossen.', 'Bleiben Sie bitte am Apparat.', 'Bleiben Sie doch sitzen!', 'Wir bleiben nur bis morgen.']",bleiben,bleiben,['останете'],"['Днес си оставам вкъщи.', 'Магазинът ни е затворен в събота през юни и юли.', 'Моля, останете на линия.', 'Защо не останете на мястото си?', 'Оставаме само до утре.']"
"der Bleistift, -e",['Hast du einen Bleistift für mich?'],der Bleistift,Bleistift,['Молив'],['Имате ли молив за мен?']
"der Blick, -e",['Von hier hat man einen tollen Blick über die Stadt.'],der Blick,Blick,['Вижте'],['Оттук се открива чудесна гледка към града.']
blind,['Er ist von Geburt an blind.'],blind,blind,['сляп'],['Той е сляп от раждането си.']
"blitzen, blitzt, blitzte, hat geblitzt","['Gestern Abend gab es ein Gewitter. Es hat furchtbar geblitzt und gedonnert.', 'Ihre Augen blitzen vor Freude.']",blitzen,blitzen,['светкавица'],"['Вчера вечерта имаше гръмотевична буря. Имаше ужасни светкавици и гръмотевици.', 'Очите ѝ блестят от радост.']"
"der Blitz, -e","['Was für ein Gewitter, hast du den Blitz gesehen?', 'Hast du das Foto mit Blitz gemacht?']",der Blitz,Blitz,['Мълния'],"['Каква буря, видяхте ли светкавици?', 'Направихте ли снимката със светкавица?']"
blond,"['Mein Sohn ist blond.', 'Nina hat lange blonde Haare.']",blond,blond,['блондинка'],"['Синът ми е рус.', 'Нина има дълга руса коса.']"
bloß,"['Ich möchte nichts kaufen. Ich möchte mich bloß umsehen.', 'Komm bloß nicht zu spät. Wir müssen pünktlich am Bahnhof sein.', 'Ach, wenn ich bloß mehr verdienen würde!']",bloß,bloß,['само'],"['Не искам да купувам нищо. Искам само да се огледам.', 'Само не закъснявайте. Трябва да сме на гарата навреме.', 'О, само ако можех да печеля повече!']"
"blühen, blüht, blühte, hat geblüht",['Die Bäume blühen schon. Es ist Frühling.'],blühen,blühen,['цъфти'],['Дърветата вече цъфтят. Пролет е.']
"die Blume, -n",['Wir haben meiner Mutter Blumen zum Geburtstag geschenkt.'],die Blume,Blume,['Цвете'],['Подарихме цветя на майка ми за рождения ѝ ден.']
"die Bluse, -n",['Ich hätte gerne eine weiße Bluse.'],die Bluse,Bluse,['Блуза'],['Бих искала бяла блуза.']
"bluten, blutet, blutete, hat geblutet",['Ich habe mich verletzt. Meine Hand blutet.'],bluten,bluten,['кървене'],['Нараних се. Ръката ми кърви.']
das Blut,['Der Verletzte hat viel Blut verloren.'],das Blut,Blut,['Кръв'],['Раненият е загубил много кръв.']
"der Boden, ¨-","['Die Bücher lagen alle auf dem Boden.', 'Auf diesem Boden wächst Gemüse besonders gut.']",der Boden,Boden,['Под'],"['Всички книги бяха на пода.', 'Зеленчуците растат особено добре в тази почва.']"
"der Bogen, -/¨-",['Bitte schreiben Sie Ihren Namen auf den Antwortbogen.'],der Bogen,Bogen,['Лък'],"['Моля, напишете името си във формуляра за отговор.']"
"die Bohne, -n",['Ich esse gern Bohnen.'],die Bohne,Bohne,['Боб'],['Обичам да ям боб.']
"das Boot, -e",['An diesem See kann man Boote mieten.'],das Boot,Boot,['Лодка'],['В това езеро могат да се наемат лодки.']
"die Botschaft, -en",['Das Visum habe ich von der Botschaft bekommen.'],die Botschaft,Botschaft,['Съобщение'],['Получих визата от посолството.']
böse,"['Ich habe das Buch leider vergessen. Hoffentlich bist du mir nicht böse.', 'Mach nicht so ein böses Gesicht!', 'Ich bin böse auf dich, du bist wieder nicht gekommen!', 'Zeig mal! Du hast dich verletzt? Das sieht aber böse aus.']",böse,böse,['зло'],"['За съжаление съм забравил книгата. Надявам се, че не ми се сърдите.', 'Не правете такава лоша физиономия!', 'Яд ме е на теб, че не се появи отново!', 'Да видим! Наранили сте се? Но това изглежда гадно.']"
"braten, brät, briet, hat gebraten","['Das Fleisch muss zehn Minuten braten.', 'Heute gibt’s gebratenen Fisch.']",braten,braten,['пържене'],"['Месото трябва да се пече десет минути.', 'Днес ще ядем пържена риба.']"
"der Braten, -",['Nehmen Sie noch etwas Soße zum Braten?'],der Braten,Braten,['Печено'],['Искате ли да добавите малко сос към печеното?']
"brauchen, braucht, brauchte, hat gebraucht","['Ich brauche ein Auto.', 'Brauchst du die Zeitung noch?', 'Meine Großmutter ist krank. Sie braucht viel Ruhe.', 'Ich habe für die Renovierung eine Woche gebraucht.', 'Sie brauchen morgen nicht zu kommen. Ich schaffe das alleine.']",brauchen,brauchen,['нужда от'],"['Имам нужда от кола.', 'Все още ли ви трябва вестникът?', 'Баба ми е болна. Тя има нужда от много почивка.', 'Отне ми една седмица, за да завърша ремонта.', 'Не е нужно да идваш утре. Мога да го направя сам.']"
"brechen, bricht, brach, hat gebrochen","['Er hat sich beim Skifahren verletzt, sein Bein ist gebrochen.', 'Ich habe mir im Urlaub das Bein gebrochen.']",brechen,brechen,['почивка'],"['Контузил се е при каране на ски, кракът му е счупен.', 'Счупих си крака по време на почивка.']"
breit,['Der Teppich ist zwei Meter lang und einen Meter breit.'],breit,breit,['широк'],['Килимът е дълъг два метра и широк един метър.']
"die Breite, -n","['Welche Maße hat der Tisch? – Länge: 1 m, Breite: 80 cm, Höhe: 1,20 m.']",die Breite,Breite,['Ширина'],"['Какви са размерите на масата? - Дължина: 1 м, широчина: 80 см, височина: 1,20 м.']"
"bremsen, bremst, bremste, hat gebremst",['Der Mann ist ganz plötzlich über die Straße gegangen. Ich musste stark bremsen.'],bremsen,bremsen,['спирачка'],['Мъжът внезапно пресече пътя. Трябваше да натисна рязко спирачката.']
"die Bremse, -n",['Du musst unbedingt die Bremsen kontrollieren lassen.'],die Bremse,Bremse,['Спирачка'],['Задължително трябва да проверите спирачките.']
"brennen, brennt, brannte, hat gebrannt","['In diesem Haus hat es letztes Jahr gebrannt.', 'Die Kerze brennt noch. Mach sie bitte aus.', 'In deinem Zimmer hat die ganze Nacht das Licht gebrannt.']",brennen,brennen,['изгаряне'],"['Миналата година в тази къща е имало пожар.', 'Свещта все още гори. Моля, изключете го.', 'Светлината в стаята ти свети цяла нощ.']"
"der Brief, -e",['Ich schreibe nicht gern Briefe.'],der Brief,Brief,['Писмо'],['Не обичам да пиша писма.']
"der Briefkasten, ¨-","['Ist hier in der Nähe ein Briefkasten?', 'Hol bitte mal die Zeitung aus dem Briefkasten.']",der Briefkasten,Briefkasten,['Пощенска кутия'],"['Има ли пощенска кутия наблизо?', 'Моля, извадете вестника от пощенската кутия.']"
"die Briefmarke, -n",['Briefmarken bekommen Sie am Schalter 7.'],die Briefmarke,Briefmarke,['Печат'],['Печатите са на разположение на гише 7.']
"der Briefträger, die Briefträgerin,-nen",['War die Briefträgerin schon da? → CH: Pöstler'],der Briefträger,Briefträger,['Пощальон'],['Пристигна ли вече пощальонката? → CH: Пощальон']
"der Briefumschlag, ¨-e → A: Kuvert; CH: Couvert",['Ich hätte gern 50 Briefumschläge und Briefmarken dazu.'],der Briefumschlag,Briefumschlag,['Плик'],['Искам 50 плика и марки.']
"die Brieftasche, -n → D, CH: Portemonnaie/Portmonee; A: Geldbörse",['Ich habe nur Kleingeld in meiner Brieftasche.'],die Brieftasche,Brieftasche,['Портфейл'],['В портфейла си имам само дребни пари.']
"die Brille, -n",['Ich brauche eine neue Brille.'],die Brille,Brille,['Очила'],['Имам нужда от нови очила.']
"bringen, bringt, brachte, hat gebracht","['Bringen Sie mir bitte ein Glas Tee!', 'Ich bringe dich nach Hause.', 'Die Abendzeitung hat einen Bericht über den Unfall gebracht.']",bringen,bringen,['донесете'],"['Моля, донесете ми чаша чай!', 'Ще те заведа у дома.', 'Вестник ""Абендцайтунг"" публикува репортаж за инцидента.']"
"die Broschüre, -n",['In der Broschüre finden Sie die neuesten Informationen.'],die Broschüre,Broschüre,['Брошура'],['Най-новата информация ще намерите в брошурата.']
"das Brot, -e","['Brot kaufe ich immer beim Bäcker, nicht im Supermarkt.', 'Was möchtest du aufs Brot haben?', 'Nimm noch ein paar belegte Brote für die Fahrt mit.']",das Brot,Brot,['Хляб'],"['Винаги купувам хляб от пекарната, а не от супермаркета.', 'Какво бихте искали върху хляба си?', 'Вземете със себе си няколко сандвича за пътуването.']"
"das Brötchen, - (D) → A: Semmel; CH: Brötli",['Ich hole schnell ein paar Brötchen zum Frühstück.'],das Brötchen,Brötchen,['Хлебна ролка'],['Бързо взех няколко рула за закуска.']
"das Brötli, - (CH) → D: Brötchen; A: Semmel",['Ich hole schnell ein paar Brötli zum Frühstück.'],das Brötli,Brötli,['Rolls'],['Бързо взех няколко рула за закуска.']
"die Brücke, -n",['Fahren Sie über die nächste Brücke und dann rechts.'],die Brücke,Brücke,['Мост'],['Преминете по следващия мост и завийте надясно.']
"der Bruder, ¨-",['Mein jüngster Bruder geht noch zur Schule.'],der Bruder,Bruder,['Brother'],['Най-малкият ми брат все още ходи на училище.']
"die Brust, , ¨-e",['Ich habe Schmerzen in der Brust.'],die Brust,Brust,['Гърди'],['Имам болка в гърдите.']
"der Bub, -en (A, CH) → D: Junge",['In der Schulklasse sind 15 Buben und 10 Mädchen.'],der Bub,Bub,['Bub'],['В класа има 15 момчета и 10 момичета.']
"das Buch, ¨-er",['Haben Sie ein Buch über die Geschichte von Berlin?'],das Buch,Buch,['Книга'],['Имате ли книга за историята на Берлин?']
"die Buchhandlung, -en",['In der Buchhandlung in der Stadt haben sie das Buch sicher.'],die Buchhandlung,Buchhandlung,['Книжарница'],['Със сигурност имат книгата в книжарницата в града.']
"buchen, bucht, buchte, hat gebucht",['Ich habe für morgen einen Flug nach Rom gebucht.'],buchen,buchen,['книга'],['Резервирах полет до Рим за утре.']
"buchstabieren, buchstabiert, buchstabierte, hat buchstabiert",['Würden Sie Ihren Namen bitte buchstabieren?'],buchstabieren,buchstabieren,['заклинание'],['Бихте ли могли да изпишете името си?']
